,city,price,rating,store,title,ulasan
2381,Probolinggo,799.000,4.5,"
ASIAN accesories
",POLYTRON R2509 Rocket T6 RAM 2GB Internal 16GB,2
2382,Probolinggo,170.000,5.0,"
ASIAN accesories
",Polytron C24G Candybar,1
2383,Surabaya,3.350.000,4.5,"
Mobile Shop
",HP Samsung A50 Ram 4 Rom 64,4
2384,Surabaya,1.875.000,4.3,"
Mobile Shop
",HP Redmi 7 Ram 3 Rom 32 tAm NEW,6
2385,Surabaya,2.075.000,5.0,"
Mobile Shop
",HP Samsung A20 Ram 3 Rom 32 SEIN NEW,3
2386,Surabaya,2.300.000,5.0,"
Mobile Shop
",HP Redmi Note 7 Ram 3 Rom 32 tAm NEW,3
2387,Surabaya,1.499.000,0,"
Mobile Shop
",HP Samsung M10 Ram 2 Rom 16 NEW,0
2388,Surabaya,16.500.000,0,"
Mobile Shop
",Handphone Samsung Galaxy Note 10 Plus Ram 12 Rom 512 Black Garansi Resmi SEIN,0
2389,Surabaya,2.975.000,0,"
Mobile Shop
",Handphone Realme 5 Pro Ram 4 Rom 128 Garansi Resmi,0
2390,Probolinggo,145.000,0,"
ASIAN accesories
",Polytron C203 Candybar,0
2391,Probolinggo,199.000,5.0,"
ASIAN accesories
",Polytron C246 Candybar,1
2392,Probolinggo,165.000,0,"
ASIAN accesories
",POLYTRON C24F Candybar,0
2393,Jakarta Utara,12.295.000,0,"
icase
",Samsung Galaxy Note 10 ram 8gb 256 bnib grs resmi - aura black,0
2394,Bandung,1.099.000,0,"
tesalm shop
",Honor 7s 2-16GB,0
2395,Probolinggo,123.000,0,"
ASIAN accesories
",Polytron C181 Candybar,0
2396,Jakarta Timur,2.990.000,5.0,"
Borneo Ponsel
",Oppo F5 Pro Ram 6Gb Internal 64 Gb garansi resmi,1
2397,Jakarta Barat,150.000,0,"
alief kurnia
",hp nokia 105 2017 warna hitam,0
2398,Jakarta Timur,1.585.000,5.0,"
Borneo Ponsel
",OPPO A1K pengganti A3S,1
2399,Jakarta Timur,1.335.000,0,"
Borneo Ponsel
",REALME C2 2-32 GB,0
2400,Jakarta Timur,1.335.000,0,"
Borneo Ponsel
",REALME C2 2-32 GB,0
2401,Jakarta Timur,2.799.000,0,"
Borneo Ponsel
",REALME 5 PRO 4-128 GB Garansi Resmi Realme Oppo,0
2402,Depok,2.145.000,0,"
Kang Mulyana
",Redmi Note 7 Black TAM,0
